#    L    TT             EE             TE             PP             TP          
     2   0.108531E+04   0.505115E-01   0.321434E+01   0.100577E+07   0.311438E+05
     3   0.101311E+04   0.829780E-01   0.404857E+01   0.155354E+07   0.371090E+05
     4   0.945289E+03   0.938530E-01   0.418058E+01   0.204084E+07   0.399398E+05
     5   0.892837E+03   0.838730E-01   0.389137E+01   0.247230E+07   0.410965E+05
     6   0.854608E+03   0.625255E-01   0.340123E+01   0.285421E+07   0.413115E+05
     7   0.827948E+03   0.401830E-01   0.285017E+01   0.319377E+07   0.409958E+05
     8   0.809898E+03   0.233397E-01   0.232446E+01   0.349678E+07   0.403335E+05
     9   0.798488E+03   0.136509E-01   0.186820E+01   0.376838E+07   0.394265E+05
    10   0.792252E+03   0.950161E-02   0.150610E+01   0.401214E+07   0.383784E+05
    11   0.789715E+03   0.821689E-02   0.124842E+01   0.423244E+07   0.373104E+05
    12   0.790965E+03   0.773333E-02   0.109614E+01   0.443085E+07   0.362776E+05
    13   0.794261E+03   0.702738E-02   0.102874E+01   0.460977E+07   0.352894E+05
    14   0.798716E+03   0.615343E-02   0.102052E+01   0.477176E+07   0.343423E+05
    15   0.804603E+03   0.540967E-02   0.105348E+01   0.491846E+07   0.334089E+05
    16   0.812293E+03   0.504998E-02   0.111240E+01   0.505126E+07   0.324676E+05
    17   0.821682E+03   0.512738E-02   0.118244E+01   0.517161E+07   0.315416E+05
    18   0.831811E+03   0.544198E-02   0.125182E+01   0.528085E+07   0.306578E+05
    19   0.843532E+03   0.583124E-02   0.131391E+01   0.537964E+07   0.298119E+05
    20   0.855192E+03   0.623009E-02   0.136250E+01   0.546858E+07   0.289929E+05
    21   0.867133E+03   0.665862E-02   0.140219E+01   0.554874E+07   0.281937E+05
    22   0.879616E+03   0.723638E-02   0.143832E+01   0.562116E+07   0.274109E+05
    23   0.892453E+03   0.803632E-02   0.147308E+01   0.568633E+07   0.266512E+05
    24   0.905704E+03   0.907749E-02   0.150801E+01   0.574466E+07   0.259226E+05
    25   0.919315E+03   0.103813E-01   0.154488E+01   0.579675E+07   0.252271E+05
    26   0.933104E+03   0.119229E-01   0.158628E+01   0.584316E+07   0.245642E+05
    27   0.947296E+03   0.136534E-01   0.163032E+01   0.588439E+07   0.239281E+05
    28   0.961734E+03   0.155534E-01   0.167529E+01   0.592078E+07   0.233139E+05
