#    L    TT             EE             TE             PP             TP          
     2   0.107386E+04   0.507895E-01   0.322909E+01   0.101338E+07   0.307604E+05
     3   0.100444E+04   0.832287E-01   0.405817E+01   0.156536E+07   0.366856E+05
     4   0.938600E+03   0.939345E-01   0.418674E+01   0.205649E+07   0.395036E+05
     5   0.887531E+03   0.837579E-01   0.389485E+01   0.249147E+07   0.406608E+05
     6   0.850292E+03   0.622917E-01   0.340211E+01   0.287663E+07   0.408849E+05
     7   0.824371E+03   0.399376E-01   0.284862E+01   0.321921E+07   0.405859E+05
     8   0.806888E+03   0.231523E-01   0.232070E+01   0.352502E+07   0.399458E+05
     9   0.795908E+03   0.135330E-01   0.186302E+01   0.379924E+07   0.390614E+05
    10   0.789991E+03   0.942583E-02   0.150070E+01   0.404544E+07   0.380332E+05
    11   0.787692E+03   0.815027E-02   0.124367E+01   0.426805E+07   0.369834E+05
    12   0.789133E+03   0.765990E-02   0.109222E+01   0.446863E+07   0.359698E+05
    13   0.792579E+03   0.694940E-02   0.102561E+01   0.464959E+07   0.350007E+05
    14   0.797146E+03   0.608607E-02   0.101805E+01   0.481351E+07   0.340703E+05
    15   0.803116E+03   0.536255E-02   0.105165E+01   0.496203E+07   0.331512E+05
    16   0.810870E+03   0.502318E-02   0.111130E+01   0.509655E+07   0.322221E+05
    17   0.820310E+03   0.511409E-02   0.118185E+01   0.521854E+07   0.313083E+05
    18   0.830478E+03   0.543134E-02   0.125128E+01   0.532934E+07   0.304377E+05
    19   0.842223E+03   0.581731E-02   0.131319E+01   0.542959E+07   0.296044E+05
    20   0.853892E+03   0.621316E-02   0.136168E+01   0.551993E+07   0.287952E+05
    21   0.865828E+03   0.664174E-02   0.140164E+01   0.560142E+07   0.280041E+05
    22   0.878300E+03   0.722387E-02   0.143848E+01   0.567509E+07   0.272294E+05
    23   0.891121E+03   0.803124E-02   0.147403E+01   0.574146E+07   0.264784E+05
    24   0.904352E+03   0.908097E-02   0.150946E+01   0.580093E+07   0.257593E+05
    25   0.917936E+03   0.103922E-01   0.154689E+01   0.585409E+07   0.250729E+05
    26   0.931688E+03   0.119384E-01   0.158921E+01   0.590154E+07   0.244174E+05
    27   0.945836E+03   0.136719E-01   0.163425E+01   0.594374E+07   0.237876E+05
    28   0.960227E+03   0.155750E-01   0.167995E+01   0.598106E+07   0.231792E+05
    29   0.974919E+03   0.176549E-01   0.172466E+01   0.601359E+07   0.225967E+05
    30   0.989825E+03   0.199277E-01   0.176538E+01   0.604141E+07   0.220440E+05
    31   0.100482E+04   0.223804E-01   0.179962E+01   0.606508E+07   0.215161E+05
    32   0.102016E+04   0.249879E-01   0.182489E+01   0.608515E+07   0.210062E+05
    33   0.103585E+04   0.277552E-01   0.183822E+01   0.610186E+07   0.205093E+05
    34   0.105170E+04   0.307059E-01   0.183850E+01   0.611533E+07   0.200221E+05
    35   0.106770E+04   0.338579E-01   0.182948E+01   0.612580E+07   0.195447E+05
    36   0.108378E+04   0.372306E-01   0.181358E+01   0.613348E+07   0.190796E+05
    37   0.109995E+04   0.408220E-01   0.178704E+01   0.613856E+07   0.186351E+05
    38   0.111649E+04   0.446339E-01   0.174781E+01   0.614122E+07   0.182185E+05
    39   0.113341E+04   0.486781E-01   0.169818E+01   0.614158E+07   0.178243E+05
    40   0.115043E+04   0.529745E-01   0.164133E+01   0.613976E+07   0.174445E+05
    41   0.116767E+04   0.575435E-01   0.157928E+01   0.613588E+07   0.170723E+05
    42   0.118489E+04   0.623869E-01   0.151019E+01   0.613005E+07   0.167078E+05
    43   0.120224E+04   0.675017E-01   0.143132E+01   0.612242E+07   0.163524E+05
    44   0.121956E+04   0.728701E-01   0.134080E+01   0.611310E+07   0.160076E+05
    45   0.123723E+04   0.784846E-01   0.123683E+01   0.610222E+07   0.156751E+05
    46   0.125517E+04   0.843424E-01   0.111635E+01   0.608991E+07   0.153557E+05
    47   0.127323E+04   0.904446E-01   0.981000E+00   0.607626E+07   0.150478E+05
    48   0.129135E+04   0.968008E-01   0.836292E+00   0.606135E+07   0.147488E+05
    49   0.130962E+04   0.103398E+00   0.687126E+00   0.604527E+07   0.144565E+05
    50   0.132827E+04   0.110216E+00   0.531626E+00   0.602812E+07   0.141684E+05
    51   0.134708E+04   0.117230E+00   0.366129E+00   0.600996E+07   0.138831E+05
    52   0.136627E+04   0.124523E+00   0.185462E+00   0.599087E+07   0.136022E+05
    53   0.138545E+04   0.132241E+00  -0.140755E-01   0.597090E+07   0.133286E+05
    54   0.140455E+04   0.140371E+00  -0.228216E+00   0.595010E+07   0.130647E+05
    55   0.142377E+04   0.148890E+00  -0.452577E+00   0.592853E+07   0.128132E+05
    56   0.144334E+04   0.157650E+00  -0.688876E+00   0.590624E+07   0.125760E+05
    57   0.146318E+04   0.166546E+00  -0.936924E+00   0.588327E+07   0.123515E+05
    58   0.148330E+04   0.175589E+00  -0.119729E+01   0.585966E+07   0.121374E+05
    59   0.150357E+04   0.184822E+00  -0.147056E+01   0.583542E+07   0.119313E+05
