#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
     2   0.107386E+04   0.322909E+01   0.329991E-02   0.322909E+01   0.507895E-01  -0.154681E-04   0.329991E-02  -0.154681E-04   0.488523E-07
     3   0.100444E+04   0.405817E+01   0.329821E-02   0.405817E+01   0.832287E-01  -0.189668E-04   0.329821E-02  -0.189668E-04   0.596236E-07
     4   0.938600E+03   0.418674E+01   0.322385E-02   0.418674E+01   0.939345E-01  -0.191477E-04   0.322385E-02  -0.191477E-04   0.688452E-07
     5   0.887531E+03   0.389485E+01   0.312120E-02   0.389485E+01   0.837579E-01  -0.169384E-04   0.312120E-02  -0.169384E-04   0.768681E-07
     6   0.850292E+03   0.340211E+01   0.300855E-02   0.340211E+01   0.622917E-01  -0.131903E-04   0.300855E-02  -0.131903E-04   0.838892E-07
     7   0.824371E+03   0.284862E+01   0.289559E-02   0.284862E+01   0.399376E-01  -0.873359E-05   0.289559E-02  -0.873359E-05   0.900867E-07
     8   0.806888E+03   0.232070E+01   0.278339E-02   0.232070E+01   0.231523E-01  -0.433551E-05   0.278339E-02  -0.433551E-05   0.955860E-07
     9   0.795908E+03   0.186302E+01   0.267151E-02   0.186302E+01   0.135330E-01  -0.616122E-06   0.267151E-02  -0.616122E-06   0.100494E-06
    10   0.789991E+03   0.150070E+01   0.256228E-02   0.150070E+01   0.942583E-02   0.207177E-05   0.256228E-02   0.207177E-05   0.104877E-06
    11   0.787692E+03   0.124367E+01   0.246073E-02   0.124367E+01   0.815027E-02   0.365286E-05   0.246073E-02   0.365286E-05   0.108826E-06
    12   0.789133E+03   0.109222E+01   0.236837E-02   0.109222E+01   0.765990E-02   0.419000E-05   0.236837E-02   0.419000E-05   0.112364E-06
    13   0.792579E+03   0.102561E+01   0.228417E-02   0.102561E+01   0.694940E-02   0.380994E-05   0.228417E-02   0.380994E-05   0.115534E-06
    14   0.797146E+03   0.101805E+01   0.220644E-02   0.101805E+01   0.608607E-02   0.270024E-05   0.220644E-02   0.270024E-05   0.118390E-06
    15   0.803116E+03   0.105165E+01   0.213263E-02   0.105165E+01   0.536255E-02   0.124677E-05   0.213263E-02   0.124677E-05   0.120961E-06
    16   0.810870E+03   0.111130E+01   0.206073E-02   0.111130E+01   0.502318E-02  -0.158328E-06   0.206073E-02  -0.158328E-06   0.123271E-06
    17   0.820310E+03   0.118185E+01   0.199190E-02   0.118185E+01   0.511409E-02  -0.129603E-05   0.199190E-02  -0.129603E-05   0.125350E-06
    18   0.830478E+03   0.125128E+01   0.192755E-02   0.125128E+01   0.543134E-02  -0.203536E-05   0.192755E-02  -0.203536E-05   0.127222E-06
    19   0.842223E+03   0.131319E+01   0.186700E-02   0.131319E+01   0.581731E-02  -0.242445E-05   0.186700E-02  -0.242445E-05   0.128898E-06
